"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,7.452162,NaN,"ms/op",5000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,11.379446,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,13.703797,NaN,"ms/op",15000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,17.677583,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,16.901867,NaN,"ms/op",25000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,43.977155,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,27.145189,NaN,"ms/op",35000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,42.484323,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,28.069609,NaN,"ms/op",45000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,31.088774,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,37.156307,NaN,"ms/op",55000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,38.605138,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,49.550476,NaN,"ms/op",65000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,82.473890,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,48.399049,NaN,"ms/op",75000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,89.613243,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,50.578896,NaN,"ms/op",85000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,58.262563,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,76.090450,NaN,"ms/op",95000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,70.428427,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,75.157930,NaN,"ms/op",105000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,71.948460,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,101.948224,NaN,"ms/op",115000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,87.210932,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,76.681623,NaN,"ms/op",125000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,84.315275,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,84.671682,NaN,"ms/op",135000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,88.217352,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,78.028350,NaN,"ms/op",145000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,99.506851,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,101.198910,NaN,"ms/op",155000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,111.990247,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,116.154837,NaN,"ms/op",165000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,121.708459,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,126.198957,NaN,"ms/op",175000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,126.339360,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,126.379861,NaN,"ms/op",185000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,142.043186,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,150.722974,NaN,"ms/op",195000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,137.472386,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,120.460916,NaN,"ms/op",205000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,130.720139,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,143.692022,NaN,"ms/op",215000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,159.961702,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,152.430741,NaN,"ms/op",225000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,157.115744,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,174.944534,NaN,"ms/op",235000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,200.777301,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,182.176593,NaN,"ms/op",245000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,191.747788,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,184.767417,NaN,"ms/op",255000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,189.464219,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,180.610527,NaN,"ms/op",265000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,191.663867,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,197.360291,NaN,"ms/op",275000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,220.465384,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,199.356025,NaN,"ms/op",285000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,233.287662,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,246.485248,NaN,"ms/op",295000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,232.967554,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,298.654697,NaN,"ms/op",305000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,246.167661,NaN,"ms/op",310000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,259.884260,NaN,"ms/op",315000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,256.488986,NaN,"ms/op",320000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,260.580075,NaN,"ms/op",325000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,265.333261,NaN,"ms/op",330000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,267.725101,NaN,"ms/op",335000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,320.402342,NaN,"ms/op",340000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,281.183492,NaN,"ms/op",345000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,288.736556,NaN,"ms/op",350000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,291.696402,NaN,"ms/op",355000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,310.463195,NaN,"ms/op",360000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,322.651250,NaN,"ms/op",365000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,320.019494,NaN,"ms/op",370000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,334.853305,NaN,"ms/op",375000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,328.251283,NaN,"ms/op",380000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,311.058212,NaN,"ms/op",385000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,329.744015,NaN,"ms/op",390000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,379.122681,NaN,"ms/op",395000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,339.759838,NaN,"ms/op",400000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,334.914134,NaN,"ms/op",405000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,318.669283,NaN,"ms/op",410000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,406.516980,NaN,"ms/op",415000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,378.139969,NaN,"ms/op",420000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,372.025737,NaN,"ms/op",425000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,362.923440,NaN,"ms/op",430000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,401.318369,NaN,"ms/op",435000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,392.795086,NaN,"ms/op",440000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,372.972958,NaN,"ms/op",445000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,378.775083,NaN,"ms/op",450000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,374.437389,NaN,"ms/op",455000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,399.223817,NaN,"ms/op",460000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,406.651977,NaN,"ms/op",465000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,403.603812,NaN,"ms/op",470000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,384.275495,NaN,"ms/op",475000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,413.882760,NaN,"ms/op",480000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,438.029184,NaN,"ms/op",485000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,422.963457,NaN,"ms/op",490000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,486.214235,NaN,"ms/op",495000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,457.451312,NaN,"ms/op",500000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,488.040974,NaN,"ms/op",505000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,459.968466,NaN,"ms/op",510000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,475.256266,NaN,"ms/op",515000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,552.204744,NaN,"ms/op",520000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,504.648306,NaN,"ms/op",525000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,508.829332,NaN,"ms/op",530000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,512.022602,NaN,"ms/op",535000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,558.402607,NaN,"ms/op",540000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,554.244781,NaN,"ms/op",545000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,545.116182,NaN,"ms/op",550000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,541.752608,NaN,"ms/op",555000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,582.553246,NaN,"ms/op",560000
