"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,8.420483,NaN,"ms/op",5000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,12.132464,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,19.173316,NaN,"ms/op",15000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,30.262857,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,53.679865,NaN,"ms/op",25000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,71.375149,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,47.287327,NaN,"ms/op",35000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,58.153062,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,58.297966,NaN,"ms/op",45000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,62.238451,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,75.515539,NaN,"ms/op",55000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,82.279886,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,74.389415,NaN,"ms/op",65000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,79.324222,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,80.921456,NaN,"ms/op",75000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,97.348512,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,119.842401,NaN,"ms/op",85000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,91.104277,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,157.455409,NaN,"ms/op",95000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,147.920002,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,165.698687,NaN,"ms/op",105000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,166.091596,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,161.360793,NaN,"ms/op",115000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,135.252528,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,146.736281,NaN,"ms/op",125000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,141.883577,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,166.752915,NaN,"ms/op",135000
"com.fiit.dsa.tree.test.SplayTreeTest.delete","ss",1,1,169.237370,NaN,"ms/op",140000
